start,end,text,top1,top2,top3,top4,admiration,amusement,anger,annoyance,approval,caring,confusion,curiosity,desire,disappointment,disapproval,disgust,embarrassment,excitement,fear,gratitude,grief,joy,love,nervousness,optimism,pride,realization,relief,remorse,sadness,surprise,neutral
0.0,1.5,oyonev a sb the golden ratio is a mathematical reality,neutral,admiration,approval,gratitude,0.14799706653087616,0.04963714851164655,0.03546249241642513,0.05545187052072597,0.07097820634533969,0.020720147521897644,0.031521995980650495,0.05062581210513095,0.013036968028581172,0.020850891958670372,0.05027280464063436,0.03438891273605323,0.005372750569227135,0.01595944394309028,0.01723491612640374,0.05554044084658844,0.0033402822231214575,0.030188275081845614,0.031994056780502975,0.007808723846969419,0.03427541087268481,0.001224436799037882,0.024546463322569004,0.001266162570395072,0.006869921713481031,0.027523790255927393,0.02364520240930564,0.33684688872022434
2.0,5.5,"oyonev a 5 that, like fractals, you can find everywhere -",neutral,admiration,annoyance,gratitude,0.10120098568927227,0.045155187031839676,0.05339522070108274,0.06923062995419571,0.04496402268773014,0.03162902776829331,0.022268431239328534,0.06209376200501601,0.014238365770032773,0.019600449648103244,0.05680657298138284,0.021814650181148264,0.0051056768412523585,0.018190489567647572,0.018278153021718365,0.06896304365745383,0.003220845161396203,0.025065912081426438,0.03628449347510217,0.008096088588291864,0.044616874962053854,0.0012199443112012904,0.02369439164388646,0.0012613611448207003,0.00800789932168981,0.027372156343285742,0.022580732527024645,0.30809030965626055
6.0,6.5,"ee, - ul 4 y from the phalanges of your fingers to the pillars of the parthenon. ns",neutral,admiration,approval,gratitude,0.09213381607855901,0.04845243613771834,0.03307162027600318,0.04123024715570513,0.07473037522152197,0.023968037450156535,0.030756636355904244,0.051826781648404485,0.013325027009969213,0.018695665877378587,0.04067825692899865,0.026393065767954842,0.0056014069433927205,0.016273800794120438,0.018377060544594644,0.05954202177492957,0.003487552509655288,0.03056104095510736,0.02644028594569399,0.007849285550253372,0.04068731145800326,0.001212193427942468,0.02796013082451224,0.0012530585045641995,0.006917603305034529,0.02935307429309103,0.02862492901428201,0.39359482479675034
7.0,7.0,"a i - . . from the phalanges of your fingers y, nn te. - to ) the pillars of the parthenon. n lr",neutral,admiration,approval,gratitude,0.09213381607855901,0.04845243613771834,0.03307162027600318,0.04123024715570513,0.07473037522152197,0.023968037450156535,0.030756636355904244,0.051826781648404485,0.013325027009969213,0.018695665877378587,0.04067825692899865,0.026393065767954842,0.0056014069433927205,0.016273800794120438,0.018377060544594644,0.05954202177492957,0.003487552509655288,0.03056104095510736,0.02644028594569399,0.007849285550253372,0.04068731145800326,0.001212193427942468,0.02796013082451224,0.0012530585045641995,0.006917603305034529,0.02935307429309103,0.02862492901428201,0.39359482479675034
7.5,10.5,from the phalanges of your fingers to the pillars of the parthenon.,neutral,admiration,approval,gratitude,0.09213381607855901,0.04845243613771834,0.03307162027600318,0.04123024715570513,0.07473037522152197,0.023968037450156535,0.030756636355904244,0.051826781648404485,0.013325027009969213,0.018695665877378587,0.04067825692899865,0.026393065767954842,0.0056014069433927205,0.016273800794120438,0.018377060544594644,0.05954202177492957,0.003487552509655288,0.03056104095510736,0.02644028594569399,0.007849285550253372,0.04068731145800326,0.001212193427942468,0.02796013082451224,0.0012530585045641995,0.006917603305034529,0.02935307429309103,0.02862492901428201,0.39359482479675034
11.0,11.5,"that's why even at a party of 5000 people, '",neutral,admiration,annoyance,curiosity,0.08293530208122574,0.056496926963773314,0.042446255680408974,0.07324214994959809,0.05371395424539165,0.019179439082713124,0.028831714540356112,0.056831673279528684,0.013732783572531061,0.018000395731330172,0.046937754756263064,0.026039317975777507,0.005227869265389223,0.016956673991328657,0.021708548763371034,0.049660262929359676,0.0038217537712033857,0.02657841553270855,0.03513370928548754,0.009973275315735166,0.03220827747146484,0.0012288582844274397,0.024711347173597405,0.0013419479155540612,0.008213432509413771,0.03096445534427841,0.027763639585378384,0.32926951745724276
12.0,12.0,"eople,",neutral,admiration,annoyance,approval,0.10489654202885249,0.051186447026876525,0.03952009028604404,0.057936981844085064,0.057777825532409184,0.023704037220089024,0.02736410241535884,0.05512419195723154,0.014359055811307897,0.018935549278611432,0.045152042602954,0.026266587348414975,0.005395281450839244,0.01900004028076265,0.017079088711643396,0.05774295524221261,0.003180053760178346,0.029820422533211315,0.037669780484658626,0.008227498795871698,0.03690478527536608,0.0012520475346861964,0.02255832569466314,0.0012958371385765365,0.007613054748864681,0.02806088394485025,0.024336326305350823,0.3486143575497418
12.5,12.5,", that's ny even vat a rent of 5000 penpleif",neutral,admiration,approval,annoyance,0.09916614018016451,0.05397365939559762,0.03536121871716037,0.061351485542723176,0.06339111093672914,0.020440029913562023,0.028430469557267402,0.05210778678043337,0.014799433876221488,0.016650078346237406,0.045509369577261816,0.024147344225437548,0.00534579415073565,0.018271898502748043,0.0245878430506665,0.04924939069345555,0.003436230580720633,0.026649912369180566,0.03254629163034456,0.009471578879345558,0.03600564777815423,0.0012295863449750316,0.025224259538048233,0.0012717475250574898,0.008039225373827022,0.032360153024904935,0.027426448388114467,0.33766864587430984
13.5,14.0,"a he a x ay that's why even at a party of 5000 people, a",neutral,admiration,annoyance,approval,0.08444374425133543,0.053861435237596476,0.04359852876714076,0.07419215976116303,0.05581177606227729,0.01845263484575844,0.028743304035860003,0.05553971706624184,0.013344369538686026,0.018049831890574988,0.0471312789672252,0.024640772962466518,0.005175047556122857,0.01684609209969796,0.020636570309682873,0.047132132238253216,0.0037547619240307843,0.025167415333919176,0.03415474696313798,0.009686202504953476,0.03383392705009535,0.0012266937137098788,0.02397821274315303,0.0013353404822036585,0.00804050217374834,0.031633558733194116,0.028551400397738326,0.3725453240077905
15.0,16.5,"i'm proud to declare,",neutral,admiration,gratitude,annoyance,0.10426911539211563,0.0434429490682635,0.037316959214125055,0.05852365286797025,0.05432534490056026,0.023389165313516966,0.02538736410903569,0.049801170667893344,0.01670397114518958,0.016994033995156452,0.0388119548855892,0.026669940097767575,0.005255851087316648,0.021234573247021393,0.01646109847073236,0.06906409799305487,0.0031959235598138626,0.029407261473574343,0.0406548311076369,0.007748164095589048,0.04525388353723807,0.0012330943290804824,0.027791636521975135,0.001275515108388359,0.007793209080885326,0.03129396934816146,0.022737786629496375,0.3083747599924901
